"Product Name","Product SKU","Template Name","Option Type","Option Title","Option ID","Option Value ID","Option Value Title",Price,"Price Type","Option Value SKU","Option Value Qty","Option Value Manage Stock","Option Value Cost","Option Value Description","Fast Ship","Custom Order","Tooltip Image","Tooltip Image Type","Base Image","Base Image Type","Images Data",mageworx_option_type_id
,,,drop_down,,72828,420967,Orange,25.0000,percent,HP08-Pollen,0.00,0,0.00,,0,1,/customoptions/40/4249/2/Orange.jpg,image,/customoptions/40/4249/2/Orange.jpg,image,"[{""value"":""/customoptions/40/4249/2/Orange.jpg"",""option_type_image_id"":""452910"",""title_text"":"""",""sort_order"":""0"",""base_image"":""1"",""replace_main_gallery_image"":""0"",""custom_media_type"":""image"",""color"":"""",""disabled"":""0"",""tooltip_image"":""1""}]",4750b0ec-3f1b-11e8-af31-0219d58c2290
,,,drop_down,,72828,420968,Red,25.0000,percent,HP12-Alec,0.00,0,0.00,,0,1,/customoptions/40/4249/3/Red.jpg,image,/customoptions/40/4249/3/Red.jpg,image,"[{""value"":""/customoptions/40/4249/3/Red.jpg"",""option_type_image_id"":""452911"",""title_text"":"""",""sort_order"":""0"",""base_image"":""1"",""replace_main_gallery_image"":""0"",""custom_media_type"":""image"",""color"":"""",""disabled"":""0"",""tooltip_image"":""1""}]",4751768f-3f1b-11e8-af31-0219d58c2290
,,,drop_down,,72828,420969,"Light gray",25.0000,percent,HP16-Dew,0.00,0,0.00,,0,1,/customoptions/40/4249/4/Light-gray.jpg,image,/customoptions/40/4249/4/Light-gray.jpg,image,"[{""value"":""/customoptions/40/4249/4/Light-gray.jpg"",""option_type_image_id"":""452912"",""title_text"":"""",""sort_order"":""0"",""base_image"":""1"",""replace_main_gallery_image"":""0"",""custom_media_type"":""image"",""color"":"""",""disabled"":""0"",""tooltip_image"":""1""}]",4752430a-3f1b-11e8-af31-0219d58c2290
,,,drop_down,,72828,420970,Periwinkle,25.0000,percent,HP17-Nurture,0.00,0,0.00,,0,1,/customoptions/40/4249/5/Periwinkle.jpg,image,/customoptions/40/4249/5/Periwinkle.jpg,image,"[{""value"":""/customoptions/40/4249/5/Periwinkle.jpg"",""option_type_image_id"":""452913"",""title_text"":"""",""sort_order"":""0"",""base_image"":""1"",""replace_main_gallery_image"":""0"",""custom_media_type"":""image"",""color"":"""",""disabled"":""0"",""tooltip_image"":""1""}]",47530a1e-3f1b-11e8-af31-0219d58c2290
,,,drop_down,,72828,420971,"Light blue",25.0000,percent,HP18-Dale,0.00,0,0.00,,0,1,/customoptions/40/4249/6/Light-blue.jpg,image,/customoptions/40/4249/6/Light-blue.jpg,image,"[{""value"":""/customoptions/40/4249/6/Light-blue.jpg"",""option_type_image_id"":""452914"",""title_text"":"""",""sort_order"":""0"",""base_image"":""1"",""replace_main_gallery_image"":""0"",""custom_media_type"":""image"",""color"":"""",""disabled"":""0"",""tooltip_image"":""1""}]",4753cd41-3f1b-11e8-af31-0219d58c2290
,,,drop_down,,72828,420972,Green,25.0000,percent,HP19-Acre,0.00,0,0.00,,0,1,/customoptions/40/4249/7/Green.jpg,image,/customoptions/40/4249/7/Green.jpg,image,"[{""value"":""/customoptions/40/4249/7/Green.jpg"",""option_type_image_id"":""452915"",""title_text"":"""",""sort_order"":""0"",""base_image"":""1"",""replace_main_gallery_image"":""0"",""custom_media_type"":""image"",""color"":"""",""disabled"":""0"",""tooltip_image"":""1""}]",47549acc-3f1b-11e8-af31-0219d58c2290
,,,drop_down,,72828,420973,"Blue green",25.0000,percent,HP20-Trough,0.00,0,0.00,,0,1,/customoptions/40/4249/8/Blue-green.jpg,image,/customoptions/40/4249/8/Blue-green.jpg,image,"[{""value"":""/customoptions/40/4249/8/Blue-green.jpg"",""option_type_image_id"":""452916"",""title_text"":"""",""sort_order"":""0"",""base_image"":""1"",""replace_main_gallery_image"":""0"",""custom_media_type"":""image"",""color"":"""",""disabled"":""0"",""tooltip_image"":""1""}]",4755670f-3f1b-11e8-af31-0219d58c2290
,,,drop_down,,72828,420974,Blue,25.0000,percent,HP23-Barn,0.00,0,0.00,,0,1,/customoptions/40/4249/9/Blue.jpg,image,/customoptions/40/4249/9/Blue.jpg,image,"[{""value"":""/customoptions/40/4249/9/Blue.jpg"",""option_type_image_id"":""452917"",""title_text"":"""",""sort_order"":""0"",""base_image"":""1"",""replace_main_gallery_image"":""0"",""custom_media_type"":""image"",""color"":"""",""disabled"":""0"",""tooltip_image"":""1""}]",47562c15-3f1b-11e8-af31-0219d58c2290
,,,drop_down,,72828,420975,Black,25.0000,percent,HP30-Sickle,0.00,0,0.00,,0,1,/customoptions/40/4249/10/Black.jpg,image,/customoptions/40/4249/10/Black.jpg,image,"[{""value"":""/customoptions/40/4249/10/Black.jpg"",""option_type_image_id"":""452918"",""title_text"":"""",""sort_order"":""0"",""base_image"":""1"",""replace_main_gallery_image"":""0"",""custom_media_type"":""image"",""color"":"""",""disabled"":""0"",""tooltip_image"":""1""}]",47571029-3f1b-11e8-af31-0219d58c2290
"Warrens easy chair",sb-000887,,drop_down,"Select a color:",72831,420990,Caramel,60.0000,percent,CARAMEL-A-60,0.00,0,0.00,,0,1,/customoptions/80/5244/12/Caramel.jpg,image,/customoptions/80/5244/12/Caramel.jpg,image,"[{""value"":""/customoptions/80/5244/12/Caramel.jpg"",""option_type_image_id"":""452943"",""title_text"":"""",""sort_order"":""0"",""base_image"":""1"",""replace_main_gallery_image"":""0"",""custom_media_type"":""image"",""color"":"""",""disabled"":""0"",""tooltip_image"":""1""}]",3dbf7013-4fe0-11e8-af31-0219d58c2290
,,,drop_down,,72831,420991,"Dark burgundy",60.0000,percent,DARK-BURGUNDY-A-9,0.00,0,0.00,,0,1,/customoptions/80/5244/13/Dark-burgundy.jpg,image,/customoptions/80/5244/13/Dark-burgundy.jpg,image,"[{""value"":""/customoptions/80/5244/13/Dark-burgundy.jpg"",""option_type_image_id"":""452944"",""title_text"":"""",""sort_order"":""0"",""base_image"":""1"",""replace_main_gallery_image"":""0"",""custom_media_type"":""image"",""color"":"""",""disabled"":""0"",""tooltip_image"":""1""}]",3dbffa49-4fe0-11e8-af31-0219d58c2290
