group_id,group_title,product_id,sku,aanddmodern_product_id
80,22S Shenzhen Brother 7: Waxy leather (premium),5808,01A-CH7203-L,128
82,22S Shenzhen Brother 8: Cow Pony Hide leather (premium),5808,01A-CH7203-L,128
89,COM & RUSH,5808,01A-CH7203-L,128
89,COM & RUSH,5808,01A-CH7203-L,128
66,01A Aeon solid wood wax finish,4095,01A-CH7253,129
89,COM & RUSH,4095,01A-CH7253,129
89,COM & RUSH,4095,01A-CH7253,129
39,22S Shenzhen Brother 2: Cashmere,3979,01A-CH7255,130
40,22S Shenzhen Brother 4: Camira Hemp,3979,01A-CH7255,130
48,01A Aeon Grade T,3979,01A-CH7255,130
49,01A Aeon Grade B,3979,01A-CH7255,130
77,22S Shenzhen Brother 1: Cashmere blend,3979,01A-CH7255,130
78,22S Shenzhen Brother 6: Aniline leather (premium),3979,01A-CH7255,130
79,22S Shenzhen Brother 5: Italian leather (standard),3979,01A-CH7255,130
80,22S Shenzhen Brother 7: Waxy leather (premium),3979,01A-CH7255,130
81,22S Shenzhen Brother 3: Camira,3979,01A-CH7255,130
82,22S Shenzhen Brother 8: Cow Pony Hide leather (premium),3979,01A-CH7255,130
89,COM & RUSH,3979,01A-CH7255,130
89,COM & RUSH,3979,01A-CH7255,130
50,01A Aeon Standard Leather,4097,01A-CH7257,131
65,01A Aeon solid wood matte finish,4097,01A-CH7257,131
78,22S Shenzhen Brother 6: Aniline leather (premium),4097,01A-CH7257,131
79,22S Shenzhen Brother 5: Italian leather (standard),4097,01A-CH7257,131
80,22S Shenzhen Brother 7: Waxy leather (premium),4097,01A-CH7257,131
82,22S Shenzhen Brother 8: Cow Pony Hide leather (premium),4097,01A-CH7257,131
89,COM & RUSH,4097,01A-CH7257,131
89,COM & RUSH,4097,01A-CH7257,131
64,01A Aeon Fiberglass,3883,01A-CH7278,132
66,01A Aeon solid wood wax finish,3883,01A-CH7278,132
39,22S Shenzhen Brother 2: Cashmere,4929,01A-CH7284C,133
40,22S Shenzhen Brother 4: Camira Hemp,4929,01A-CH7284C,133
48,01A Aeon Grade T,4929,01A-CH7284C,133
49,01A Aeon Grade B,4929,01A-CH7284C,133
50,01A Aeon Standard Leather,4929,01A-CH7284C,133
51,01A Aeon Cow Pony Hide Leather (premium),4929,01A-CH7284C,133
77,22S Shenzhen Brother 1: Cashmere blend,4929,01A-CH7284C,133
81,22S Shenzhen Brother 3: Camira,4929,01A-CH7284C,133
89,COM & RUSH,4929,01A-CH7284C,133
89,COM & RUSH,4929,01A-CH7284C,133
68,01A Aeon painted beech,3679,01A-CH8302B,134
69,01A Aeon plywood veneer,3679,01A-CH8302B,134
89,COM & RUSH,3679,01A-CH8302B,134
89,COM & RUSH,3679,01A-CH8302B,134
48,01A Aeon Grade T,4599,01A-CH9122,135
49,01A Aeon Grade B,4599,01A-CH9122,135
50,01A Aeon Standard Leather,4599,01A-CH9122,135
66,01A Aeon solid wood wax finish,4599,01A-CH9122,135
89,COM & RUSH,4599,01A-CH9122,135
89,COM & RUSH,4599,01A-CH9122,135
68,01A Aeon painted beech,3669,01A-CH9131A,136
69,01A Aeon plywood veneer,3669,01A-CH9131A,136
89,COM & RUSH,3669,01A-CH9131A,136
89,COM & RUSH,3669,01A-CH9131A,136
48,01A Aeon Grade T,3915,01A-CH9248,137
49,01A Aeon Grade B,3915,01A-CH9248,137
89,COM & RUSH,3915,01A-CH9248,137
89,COM & RUSH,3915,01A-CH9248,137
57,All - black and white,3925,01A-CT4052,138
57,All - black and white,3871,01A-CT-4053,139
48,01A Aeon Grade T,4113,01A-SD9126A,140
49,01A Aeon Grade B,4113,01A-SD9126A,140
69,01A Aeon plywood veneer,4113,01A-SD9126A,140
89,COM & RUSH,4113,01A-SD9126A,140
89,COM & RUSH,4113,01A-SD9126A,140
48,01A Aeon Grade T,4587,01A-SF9120A,142
49,01A Aeon Grade B,4587,01A-SF9120A,142
89,COM & RUSH,4587,01A-SF9120A,142
89,COM & RUSH,4587,01A-SF9120A,142
48,01A Aeon Grade T,3759,01-CH7283B,143
49,01A Aeon Grade B,3759,01-CH7283B,143
50,01A Aeon Standard Leather,3759,01-CH7283B,143
51,01A Aeon Cow Pony Hide Leather (premium),3759,01-CH7283B,143
89,COM & RUSH,3759,01-CH7283B,143
89,COM & RUSH,3759,01-CH7283B,143
51,01A Aeon Cow Pony Hide Leather (premium),4109,03C-FEC2907,160
89,COM & RUSH,4109,03C-FEC2907,160
89,COM & RUSH,4109,03C-FEC2907,160
57,All - black and white,5409,03C-S-BS231MBLK,179
57,All - black and white,4629,03C-S-DB004,180
39,22S Shenzhen Brother 2: Cashmere,4451,03C-S-DC211F,181
40,22S Shenzhen Brother 4: Camira Hemp,4451,03C-S-DC211F,181
57,All - black and white,4451,03C-S-DC211F,181
77,22S Shenzhen Brother 1: Cashmere blend,4451,03C-S-DC211F,181
81,22S Shenzhen Brother 3: Camira,4451,03C-S-DC211F,181
89,COM & RUSH,4451,03C-S-DC211F,181
89,COM & RUSH,4451,03C-S-DC211F,181
39,22S Shenzhen Brother 2: Cashmere,5888,03C-S-DC231,182
40,22S Shenzhen Brother 4: Camira Hemp,5888,03C-S-DC231,182
77,22S Shenzhen Brother 1: Cashmere blend,5888,03C-S-DC231,182
81,22S Shenzhen Brother 3: Camira,5888,03C-S-DC231,182
89,COM & RUSH,5888,03C-S-DC231,182
89,COM & RUSH,5888,03C-S-DC231,182
39,22S Shenzhen Brother 2: Cashmere,4431,03C-S-DC594M,183
40,22S Shenzhen Brother 4: Camira Hemp,4431,03C-S-DC594M,183
48,01A Aeon Grade T,4431,03C-S-DC594M,183
49,01A Aeon Grade B,4431,03C-S-DC594M,183
66,01A Aeon solid wood wax finish,4431,03C-S-DC594M,183
77,22S Shenzhen Brother 1: Cashmere blend,4431,03C-S-DC594M,183
81,22S Shenzhen Brother 3: Camira,4431,03C-S-DC594M,183
89,COM & RUSH,4431,03C-S-DC594M,183
89,COM & RUSH,4431,03C-S-DC594M,183
39,22S Shenzhen Brother 2: Cashmere,3983,03C-S-FB0119,184
40,22S Shenzhen Brother 4: Camira Hemp,3983,03C-S-FB0119,184
77,22S Shenzhen Brother 1: Cashmere blend,3983,03C-S-FB0119,184
81,22S Shenzhen Brother 3: Camira,3983,03C-S-FB0119,184
89,COM & RUSH,3983,03C-S-FB0119,184
89,COM & RUSH,3983,03C-S-FB0119,184
39,22S Shenzhen Brother 2: Cashmere,4003,03C-S-FB2808,187
40,22S Shenzhen Brother 4: Camira Hemp,4003,03C-S-FB2808,187
77,22S Shenzhen Brother 1: Cashmere blend,4003,03C-S-FB2808,187
81,22S Shenzhen Brother 3: Camira,4003,03C-S-FB2808,187
88,16M Modway Furniture Fabric (loft),4003,03C-S-FB2808,187
89,COM & RUSH,4003,03C-S-FB2808,187
89,COM & RUSH,4003,03C-S-FB2808,187
78,22S Shenzhen Brother 6: Aniline leather (premium),4359,03C-S-FB6788C,188
79,22S Shenzhen Brother 5: Italian leather (standard),4359,03C-S-FB6788C,188
80,22S Shenzhen Brother 7: Waxy leather (premium),4359,03C-S-FB6788C,188
82,22S Shenzhen Brother 8: Cow Pony Hide leather (premium),4359,03C-S-FB6788C,188
89,COM & RUSH,4359,03C-S-FB6788C,188
89,COM & RUSH,4359,03C-S-FB6788C,188
13,All - leatherette,4609,03C-S-FB759,189
39,22S Shenzhen Brother 2: Cashmere,4609,03C-S-FB759,189
40,22S Shenzhen Brother 4: Camira Hemp,4609,03C-S-FB759,189
77,22S Shenzhen Brother 1: Cashmere blend,4609,03C-S-FB759,189
81,22S Shenzhen Brother 3: Camira,4609,03C-S-FB759,189
89,COM & RUSH,4609,03C-S-FB759,189
89,COM & RUSH,4609,03C-S-FB759,189
78,22S Shenzhen Brother 6: Aniline leather (premium),5802,03C-S-FB759L,190
79,22S Shenzhen Brother 5: Italian leather (standard),5802,03C-S-FB759L,190
80,22S Shenzhen Brother 7: Waxy leather (premium),5802,03C-S-FB759L,190
82,22S Shenzhen Brother 8: Cow Pony Hide leather (premium),5802,03C-S-FB759L,190
89,COM & RUSH,5802,03C-S-FB759L,190
89,COM & RUSH,5802,03C-S-FB759L,190
39,22S Shenzhen Brother 2: Cashmere,4363,03C-S-FB919F,192
40,22S Shenzhen Brother 4: Camira Hemp,4363,03C-S-FB919F,192
77,22S Shenzhen Brother 1: Cashmere blend,4363,03C-S-FB919F,192
81,22S Shenzhen Brother 3: Camira,4363,03C-S-FB919F,192
50,01A Aeon Standard Leather,4051,03C-S-FEC1103,195
78,22S Shenzhen Brother 6: Aniline leather (premium),4051,03C-S-FEC1103,195
79,22S Shenzhen Brother 5: Italian leather (standard),4051,03C-S-FEC1103,195
80,22S Shenzhen Brother 7: Waxy leather (premium),4051,03C-S-FEC1103,195
89,COM & RUSH,4051,03C-S-FEC1103,195
89,COM & RUSH,4051,03C-S-FEC1103,195
39,22S Shenzhen Brother 2: Cashmere,3989,03C-S-FEC4719,199
40,22S Shenzhen Brother 4: Camira Hemp,3989,03C-S-FEC4719,199
77,22S Shenzhen Brother 1: Cashmere blend,3989,03C-S-FEC4719,199
81,22S Shenzhen Brother 3: Camira,3989,03C-S-FEC4719,199
89,COM & RUSH,3989,03C-S-FEC4719,199
89,COM & RUSH,3989,03C-S-FEC4719,199
78,22S Shenzhen Brother 6: Aniline leather (premium),3977,03C-S-FEC4929,200
79,22S Shenzhen Brother 5: Italian leather (standard),3977,03C-S-FEC4929,200
